@RELATION bolas

@ATTRIBUTE tamanho NUMERIC
@ATTRIBUTE cor {branca, laranja, amarela}
@ATTRIBUTE tipo_bola {Tênis, Basquete, Futebol}

@DATA
95,laranja,Tênis
131,branca,Basquete
73,amarela,Basquete
119,amarela,Basquete
136,branca,Futebol
32,branca,Futebol
94,branca,Basquete
72,branca,Futebol
61,amarela,Basquete
42,branca,Futebol
50,amarela,Basquete
111,laranja,Basquete
115,branca,Tênis
125,amarela,Tênis
38,laranja,Futebol
127,branca,Basquete
91,laranja,Tênis
68,laranja,Tênis
53,amarela,Futebol
145,laranja,Futebol
104,amarela,Futebol
97,branca,Basquete
88,laranja,Futebol
144,amarela,Basquete
28,laranja,Futebol
83,amarela,Tênis
119,branca,Futebol
101,laranja,Basquete
139,laranja,Tênis
120,laranja,Basquete
97,laranja,Basquete
67,laranja,Tênis
80,amarela,Basquete
146,laranja,Tênis
129,branca,Basquete
51,branca,Futebol
39,amarela,Basquete
119,laranja,Futebol
43,branca,Futebol
148,amarela,Tênis
56,branca,Futebol
128,amarela,Tênis
92,laranja,Basquete
111,amarela,Tênis
84,branca,Basquete
103,branca,Tênis
84,laranja,Tênis
44,amarela,Tênis
51,branca,Tênis
85,amarela,Tênis
86,laranja,Futebol
65,branca,Tênis
89,amarela,Futebol
23,laranja,Futebol
41,amarela,Basquete
51,amarela,Basquete
129,branca,Tênis
105,branca,Futebol
56,laranja,Futebol
71,amarela,Tênis
128,amarela,Basquete
68,branca,Basquete
44,branca,Futebol
104,laranja,Tênis
105,branca,Tênis
40,laranja,Futebol
42,branca,Tênis
76,branca,Futebol
114,laranja,Tênis
73,laranja,Basquete
68,laranja,Futebol
129,amarela,Basquete
39,branca,Basquete
52,amarela,Futebol
84,laranja,Tênis
80,amarela,Basquete
35,laranja,Basquete
144,laranja,Futebol
67,amarela,Futebol
73,laranja,Basquete
45,laranja,Futebol
124,amarela,Basquete
46,laranja,Futebol
101,laranja,Futebol
107,laranja,Tênis
31,laranja,Tênis
36,laranja,Tênis
145,laranja,Futebol
112,amarela,Basquete
82,amarela,Tênis
99,laranja,Futebol
69,laranja,Futebol
59,amarela,Basquete
110,branca,Tênis
78,amarela,Futebol
30,laranja,Basquete
22,branca,Futebol
141,laranja,Futebol
36,amarela,Futebol
70,amarela,Futebol
73,amarela,Basquete
88,branca,Basquete
145,branca,Tênis
58,branca,Futebol
83,branca,Futebol
47,branca,Tênis
113,branca,Futebol
140,laranja,Tênis
71,laranja,Futebol
83,laranja,Futebol
135,branca,Tênis
72,branca,Tênis
121,amarela,Tênis
103,branca,Futebol
138,amarela,Tênis
71,branca,Basquete
90,laranja,Futebol
52,amarela,Basquete
117,branca,Futebol
120,amarela,Futebol
75,laranja,Tênis
113,amarela,Basquete
30,branca,Futebol
140,branca,Basquete
28,laranja,Tênis
37,amarela,Futebol
124,amarela,Futebol
83,laranja,Futebol
51,laranja,Futebol
127,laranja,Tênis
123,branca,Basquete
94,amarela,Basquete
65,branca,Futebol
38,laranja,Futebol
121,branca,Futebol
93,amarela,Futebol
78,branca,Basquete
143,branca,Basquete
79,laranja,Basquete
87,branca,Basquete
65,laranja,Basquete
143,branca,Basquete
113,laranja,Tênis
59,laranja,Basquete
101,branca,Futebol
46,branca,Basquete
96,branca,Basquete
117,amarela,Basquete
114,laranja,Futebol
131,laranja,Basquete
63,amarela,Basquete
105,laranja,Basquete
93,branca,Futebol
91,amarela,Basquete
39,laranja,Futebol
97,amarela,Futebol
110,laranja,Basquete
60,laranja,Futebol
74,amarela,Basquete
50,branca,Tênis
67,amarela,Futebol
44,branca,Basquete
84,branca,Futebol
69,branca,Tênis
95,amarela,Tênis
24,laranja,Tênis
57,amarela,Basquete
38,branca,Tênis
102,laranja,Futebol
122,laranja,Futebol
120,laranja,Futebol
103,branca,Futebol
123,branca,Futebol
41,laranja,Basquete
24,laranja,Futebol
102,branca,Tênis
63,amarela,Basquete
50,amarela,Basquete
69,amarela,Basquete
141,amarela,Basquete
29,laranja,Futebol
74,amarela,Futebol
84,branca,Tênis
34,amarela,Basquete
37,laranja,Futebol
105,laranja,Tênis
23,amarela,Futebol
58,laranja,Tênis
33,laranja,Futebol
59,branca,Futebol
26,laranja,Basquete
101,laranja,Basquete
99,branca,Tênis
76,amarela,Tênis
110,amarela,Tênis
72,laranja,Futebol
72,branca,Basquete
146,laranja,Basquete
112,amarela,Basquete
25,branca,Basquete
148,laranja,Futebol
27,amarela,Basquete
26,branca,Futebol
103,branca,Basquete
122,branca,Tênis
88,branca,Basquete
55,branca,Tênis
147,amarela,Tênis
37,amarela,Futebol
68,laranja,Tênis
48,laranja,Basquete
82,laranja,Futebol
149,branca,Basquete
55,branca,Futebol
45,laranja,Tênis
92,laranja,Basquete
104,amarela,Futebol
63,laranja,Futebol
85,branca,Basquete
73,amarela,Basquete
33,laranja,Basquete
150,amarela,Futebol
45,laranja,Tênis
70,branca,Basquete
146,amarela,Tênis
104,laranja,Futebol
147,amarela,Basquete
149,amarela,Futebol
96,branca,Tênis
85,amarela,Basquete
38,branca,Tênis
97,branca,Basquete
110,amarela,Tênis
128,branca,Basquete
126,laranja,Tênis
91,branca,Tênis
103,branca,Futebol
22,amarela,Futebol
127,amarela,Futebol
73,amarela,Tênis
142,branca,Basquete
28,amarela,Tênis
59,amarela,Tênis
102,amarela,Futebol
24,amarela,Tênis
92,laranja,Basquete
70,amarela,Futebol
27,branca,Futebol
71,branca,Basquete
110,amarela,Basquete
55,laranja,Futebol
44,laranja,Basquete
46,laranja,Basquete
90,branca,Basquete
89,laranja,Tênis
121,amarela,Futebol
104,laranja,Tênis
135,branca,Futebol
128,laranja,Tênis
44,laranja,Futebol
131,branca,Tênis
46,laranja,Tênis
149,branca,Basquete
105,amarela,Tênis
24,amarela,Basquete
21,amarela,Tênis
70,amarela,Basquete
23,branca,Basquete
127,branca,Futebol
117,amarela,Tênis
62,branca,Futebol
149,branca,Basquete
60,laranja,Tênis
71,branca,Tênis
89,amarela,Futebol
86,laranja,Futebol
60,laranja,Basquete
118,branca,Basquete
67,laranja,Basquete
39,branca,Futebol
94,amarela,Tênis
149,amarela,Futebol
59,laranja,Futebol
52,laranja,Basquete
20,branca,Tênis
117,laranja,Basquete
117,amarela,Futebol
30,amarela,Futebol
45,laranja,Tênis
137,amarela,Futebol
87,branca,Futebol
88,laranja,Basquete
91,laranja,Futebol
21,amarela,Futebol
56,branca,Tênis
89,laranja,Futebol
114,laranja,Tênis
27,amarela,Basquete
53,laranja,Tênis
26,laranja,Tênis
23,branca,Tênis
73,amarela,Basquete
95,branca,Tênis
129,amarela,Basquete
106,amarela,Basquete
117,laranja,Futebol
60,branca,Tênis
35,amarela,Futebol
46,amarela,Tênis
59,branca,Basquete
77,amarela,Basquete
138,amarela,Basquete
148,laranja,Basquete
144,laranja,Tênis
42,amarela,Futebol
115,laranja,Tênis
78,laranja,Futebol
38,laranja,Tênis
103,amarela,Basquete
49,amarela,Tênis
46,amarela,Basquete
87,laranja,Basquete
21,amarela,Tênis
47,laranja,Futebol
59,laranja,Basquete
23,branca,Basquete
73,amarela,Basquete
149,amarela,Tênis
94,laranja,Futebol
94,amarela,Futebol
99,amarela,Tênis
128,laranja,Futebol
146,laranja,Basquete
148,amarela,Basquete
69,laranja,Tênis
103,amarela,Basquete
33,branca,Futebol
23,branca,Futebol
105,amarela,Basquete
141,laranja,Futebol
71,laranja,Tênis
72,branca,Tênis
139,branca,Futebol
88,branca,Tênis
93,amarela,Futebol
114,laranja,Futebol
75,laranja,Futebol
58,branca,Tênis
30,branca,Basquete
40,amarela,Basquete
48,laranja,Futebol
98,laranja,Basquete
80,amarela,Futebol
49,laranja,Basquete
67,amarela,Basquete
22,laranja,Basquete
98,branca,Basquete
28,laranja,Tênis
39,branca,Futebol
75,branca,Futebol
106,branca,Tênis
123,amarela,Tênis
124,branca,Tênis
65,amarela,Basquete
49,amarela,Futebol
144,branca,Futebol
79,amarela,Futebol
94,branca,Tênis
80,laranja,Tênis
105,laranja,Basquete
104,laranja,Tênis
52,branca,Futebol
53,amarela,Basquete
32,laranja,Futebol
140,amarela,Basquete
57,branca,Basquete
52,amarela,Futebol
142,laranja,Basquete
70,laranja,Futebol
24,amarela,Futebol
128,branca,Tênis
39,laranja,Futebol
31,laranja,Tênis
42,laranja,Basquete
139,amarela,Basquete
94,branca,Futebol
131,amarela,Basquete
131,laranja,Basquete
116,amarela,Basquete
142,laranja,Tênis
128,branca,Tênis
36,laranja,Tênis
130,branca,Tênis
135,laranja,Tênis
47,branca,Basquete
59,amarela,Basquete
49,laranja,Tênis
123,laranja,Tênis
40,amarela,Tênis
143,laranja,Tênis
84,amarela,Basquete
141,laranja,Basquete
50,amarela,Basquete
