@RELATION bolas

@ATTRIBUTE tamanho NUMERIC
@ATTRIBUTE cor {branca, laranja, amarela}
@ATTRIBUTE tipo_bola {Tênis, Basquete, Futebol}

@DATA
32,laranja,Basquete
50,amarela,Tênis
111,amarela,Tênis
92,laranja,Futebol
75,amarela,Tênis
60,branca,Futebol
53,branca,Basquete
70,branca,Basquete
133,branca,Futebol
128,amarela,Basquete
53,laranja,Futebol
53,amarela,Tênis
65,branca,Basquete
141,laranja,Futebol
29,amarela,Tênis
141,branca,Tênis
33,branca,Futebol
52,laranja,Tênis
81,amarela,Basquete
50,amarela,Basquete
34,branca,Basquete
114,laranja,Tênis
76,amarela,Tênis
109,branca,Tênis
25,amarela,Basquete
30,laranja,Futebol
46,amarela,Futebol
38,branca,Basquete
58,branca,Basquete
87,laranja,Futebol
58,branca,Futebol
79,branca,Futebol
86,branca,Tênis
68,amarela,Tênis
31,amarela,Futebol
25,branca,Tênis
34,laranja,Futebol
22,amarela,Basquete
133,amarela,Tênis
44,laranja,Futebol
88,amarela,Tênis
47,laranja,Basquete
126,branca,Futebol
122,amarela,Tênis
133,branca,Tênis
105,branca,Basquete
136,branca,Basquete
134,amarela,Futebol
111,laranja,Basquete
62,branca,Tênis
81,amarela,Tênis
113,amarela,Basquete
86,branca,Basquete
115,laranja,Tênis
100,branca,Futebol
73,branca,Basquete
98,branca,Futebol
92,branca,Futebol
88,amarela,Futebol
39,laranja,Basquete
91,branca,Basquete
31,branca,Futebol
62,branca,Futebol
53,branca,Basquete
52,amarela,Tênis
89,amarela,Basquete
74,branca,Basquete
111,laranja,Futebol
95,laranja,Tênis
29,laranja,Basquete
125,amarela,Futebol
31,amarela,Basquete
63,branca,Futebol
73,amarela,Futebol
55,branca,Basquete
32,laranja,Tênis
69,laranja,Basquete
47,amarela,Futebol
120,laranja,Tênis
149,branca,Basquete
139,branca,Tênis
125,amarela,Basquete
55,laranja,Futebol
135,branca,Basquete
20,laranja,Futebol
62,amarela,Tênis
42,branca,Basquete
137,amarela,Basquete
139,laranja,Futebol
117,amarela,Tênis
81,amarela,Tênis
125,branca,Tênis
105,branca,Futebol
20,laranja,Futebol
21,amarela,Tênis
90,branca,Tênis
140,laranja,Basquete
52,branca,Futebol
110,amarela,Basquete
132,laranja,Tênis
87,amarela,Basquete
98,laranja,Tênis
126,amarela,Basquete
82,amarela,Basquete
136,laranja,Basquete
73,amarela,Futebol
64,amarela,Basquete
30,amarela,Basquete
73,laranja,Basquete
44,branca,Futebol
107,laranja,Futebol
27,amarela,Futebol
109,amarela,Futebol
104,laranja,Tênis
124,amarela,Futebol
74,branca,Tênis
54,amarela,Basquete
118,branca,Tênis
42,branca,Basquete
35,branca,Basquete
26,branca,Futebol
80,amarela,Basquete
110,branca,Tênis
67,amarela,Basquete
103,laranja,Tênis
131,branca,Basquete
31,laranja,Tênis
39,branca,Tênis
33,laranja,Futebol
86,branca,Tênis
34,branca,Futebol
115,amarela,Basquete
98,amarela,Basquete
47,laranja,Basquete
140,branca,Futebol
58,amarela,Futebol
39,branca,Futebol
94,laranja,Tênis
112,laranja,Basquete
132,amarela,Tênis
141,amarela,Futebol
60,laranja,Tênis
112,laranja,Futebol
42,laranja,Basquete
56,amarela,Futebol
119,laranja,Futebol
65,amarela,Basquete
65,branca,Tênis
54,amarela,Tênis
81,branca,Tênis
59,branca,Tênis
109,laranja,Basquete
80,amarela,Basquete
140,laranja,Basquete
47,branca,Basquete
96,branca,Futebol
40,laranja,Basquete
150,branca,Basquete
41,branca,Tênis
127,laranja,Tênis
134,branca,Tênis
124,amarela,Futebol
28,branca,Tênis
77,branca,Basquete
97,amarela,Basquete
85,laranja,Basquete
111,amarela,Basquete
119,branca,Basquete
84,branca,Tênis
132,laranja,Futebol
133,laranja,Futebol
49,amarela,Futebol
100,branca,Basquete
34,laranja,Futebol
103,amarela,Basquete
77,amarela,Futebol
118,branca,Tênis
42,laranja,Futebol
26,laranja,Basquete
108,amarela,Basquete
23,branca,Basquete
109,branca,Futebol
61,laranja,Tênis
31,amarela,Futebol
87,branca,Futebol
104,amarela,Basquete
103,laranja,Tênis
122,amarela,Basquete
119,amarela,Futebol
86,amarela,Futebol
117,laranja,Futebol
70,laranja,Futebol
104,amarela,Futebol
88,amarela,Tênis
122,laranja,Tênis
117,laranja,Basquete
42,branca,Futebol
119,amarela,Tênis
60,amarela,Futebol
124,amarela,Futebol
94,laranja,Basquete
140,laranja,Basquete
63,branca,Futebol
64,laranja,Futebol
75,amarela,Basquete
138,branca,Futebol
77,laranja,Futebol
